method,sigma,equation_type,bc_type,sub_exp,display,n,h,linf_error,l2_error,observed_order_linf,observed_order_l2,boundary_flux_linf,boundary_dirichlet_linf,mean_offset,weighted_mean_solution,compatibility_integral,error,rate
FACR,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",17,0.0625,0.002134256854730898,0.0010652805845462491,2.0036584969058384,1.9971978834366055,0.005919894855101582,1.2246467991473532e-16,0.0,,,0.002134256854730898,2.0036584969058384
FACR,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",33,0.03125,0.0005332254407592885,0.00026649028054746165,2.00091629316243,1.999078651366645,0.0007423750734130152,1.2246467991473532e-16,0.0,,,0.0005332254407592885,2.00091629316243
FACR,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",65,0.015625,0.0001332851857098749,6.663470569075706e-05,2.000229176939384,1.9997372315566622,9.287162500726254e-05,1.2246467991473532e-16,0.0,,,0.0001332851857098749,2.000229176939384
FACR,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",129,0.0078125,3.3319972871925785e-05,1.6659485857736744e-05,2.0000573064420433,1.9999299020204464,1.1611289664870128e-05,1.2246467991473532e-16,0.0,,,3.3319972871925785e-05,2.0000573064420433
FA,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",9,0.125,0.012950746721879014,0.0071948592899328066,,,0.04695493130872297,,-3.2526065174565133e-19,-6.938893903907228e-18,-1.3877787807814457e-16,0.012950746721879014,
FA,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",17,0.0625,0.003218964440078409,0.0017041576447473221,2.0083667395266787,2.07790767277982,0.0059263025343119224,,3.3881317890172014e-21,1.734723475976807e-18,-5.551115123125783e-17,0.003218964440078409,2.0083667395266787
FA,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",33,0.03125,0.000803577679381551,0.0004139642590751732,2.0020872427975958,2.0414806810982196,0.0007425756692196472,,-2.6215669717520595e-19,8.673617379884035e-19,-1.3877787807814457e-17,0.000803577679381551,2.0020872427975958
FA,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",65,0.015625,0.00020082180971492416,0.00010195568800896086,2.000521533702502,2.0215639492659787,9.287789644218947e-05,,-2.5527455447876476e-19,1.734723475976807e-18,0.0,0.00020082180971492416,2.000521533702502
FA,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",129,0.0078125,5.0200916019038725e-05,2.5295035203299054e-05,2.0001303633598577,2.011016112087749,1.1611485710716352e-05,,-8.15533909528281e-20,-1.0842021724855044e-18,-1.0408340855860843e-17,5.0200916019038725e-05,2.0001303633598577
CR,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",9,0.125,0.012950746721879944,0.00719485928993312,,,0.04695493130872652,,0.007812499999999959,0.007812499999999945,-1.3877787807814457e-16,0.012950746721879944,
CR,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",17,0.0625,0.003218964440079997,0.0017041576447479076,2.0083667395260707,2.077907672779387,0.005926302534324357,,0.001953124999999966,0.0019531249999999705,-5.551115123125783e-17,0.003218964440079997,2.0083667395260707
CR,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",33,0.03125,0.0008035776793788395,0.0004139642590728023,2.0020872428031753,2.041480681106978,0.0007425756692160945,,0.00031280517578120327,0.00031280517578120316,-1.3877787807814457e-17,0.0008035776793788395,2.0020872428031753
CR,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",65,0.015625,0.00020082180971639762,0.00010195568800671437,2.000521533687049,2.021563949289504,9.287789643508404e-05,,-0.00010263919830330327,-0.00010263919830330332,0.0,0.00020082180971639762,2.000521533687049
CR,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",129,0.0078125,5.020091579870655e-05,2.5295035088573283e-05,2.000130369702442,2.0110161185993123,1.161148568940007e-05,,-5.29214739800138e-05,-5.2921473980014786e-05,-1.0408340855860843e-17,5.020091579870655e-05,2.000130369702442
FACR,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",9,0.125,0.012950746721879746,0.007194859289933019,,,0.04695493130872874,,0.005208333333333325,0.005208333333333315,-1.3877787807814457e-16,0.012950746721879746,
FACR,0.0,Poisson,neumann,c_poisson_neumann_sigma0,"Neumann Poisson, sigma=0",17,0.0625,0.0032189644400815887,0.001704157644748876,2.0083667395253353,2.0779076727785473,0.005926302534326133,,0.0013020833333333304,0.0013020833333333235,-5.551115123125783e-17,0.0032189644400815887,2.0083667395253353
